City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2021-01-29 15:36:26,-33.5906,26.891,73.0,79,0,1.99
68,Laguna,US,2021-01-29 15:32:12,38.421,-121.4238,44.6,93,90,3.44
69,Cidreira,BR,2021-01-29 15:36:27,-30.1811,-50.2056,81.52,81,16,4.36
70,Carnarvon,AU,2021-01-29 15:36:28,-24.8667,113.6333,80.6,78,0,14.97
71,Bredasdorp,ZA,2021-01-29 15:36:28,-34.5322,20.0403,73.99,63,0,5.01
72,Saskylakh,RU,2021-01-29 15:36:28,71.9167,114.0833,-38.9,78,21,3.2
73,Qaanaaq,GL,2021-01-29 15:36:28,77.484,-69.3632,-14.04,59,0,5.23
74,Pocone,BR,2021-01-29 15:32:14,-16.2567,-56.6228,85.96,59,69,9.08
75,Myrtle Beach,US,2021-01-29 15:36:29,33.6891,-78.8867,39.99,38,1,10.36
76,Garoua Boulai,CM,2021-01-29 15:36:30,5.8833,14.55,89.31,16,80,8.12
77,Ulaangom,MN,2021-01-29 15:36:30,49.9811,92.0667,-5.62,89,100,1.63
78,Chuy,UY,2021-01-29 15:36:30,-33.6971,-53.4616,77.18,66,57,10.07
79,Punakha,BT,2021-01-29 15:36:30,27.5837,89.8598,45.88,57,55,2.15
80,Venado,MX,2021-01-29 15:36:30,22.9333,-101.0833,52.23,68,63,6.15
81,Cayenne,GF,2021-01-29 15:34:05,4.9333,-52.3333,82.4,83,75,8.05
82,Luanda,AO,2021-01-29 15:36:31,-8.8368,13.2343,86.0,66,20,13.8
83,Cape Coast,GH,2021-01-29 15:36:31,5.1053,-1.2466,83.14,71,46,10.96
84,Port Elizabeth,ZA,2021-01-29 15:36:31,-33.918,25.5701,73.4,64,0,13.8
85,Ararat,AM,2021-01-29 15:36:31,39.8317,44.7049,30.2,93,100,0.47
86,Severo-Kurilsk,RU,2021-01-29 15:36:32,50.6789,156.125,22.14,93,100,18.66
87,Atuona,PF,2021-01-29 15:36:32,-9.8,-139.0333,78.12,77,7,18.97
88,Charlottetown,CA,2021-01-29 15:36:32,46.2352,-63.1267,26.01,74,90,13.8
89,Faanui,PF,2021-01-29 15:36:32,-16.4833,-151.75,80.78,64,23,7.18
90,Namibe,AO,2021-01-29 15:36:32,-15.1961,12.1522,80.6,61,75,14.97
91,Uruzgan,AF,2021-01-29 15:36:33,32.8333,66.0,39.15,59,0,2.64
92,Coquimbo,CL,2021-01-29 15:32:37,-29.9533,-71.3436,62.6,82,90,9.22
93,Jinji,CN,2021-01-29 15:36:33,23.2281,110.8261,55.81,45,0,1.68
94,Thompson,CA,2021-01-29 15:36:33,55.7435,-97.8558,-4.0,77,90,4.61
95,Hermanus,ZA,2021-01-29 15:36:33,-34.4187,19.2345,73.99,63,3,5.01
96,Port Moresby,PG,2021-01-29 15:36:33,-9.4431,147.1797,73.4,100,90,11.5
