,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Sao Jose Da Coroa Grande,BR,83.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
222,Grand Gaube,MU,80.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
228,Planadas,CO,80.24,scattered clouds,3.197,-75.6451,HOTEL GOLD STAR
231,Taperoa,BR,91.8,broken clouds,-7.2075,-36.8267,Construir material de construção
232,Pocone,BR,94.57,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
233,Ranibennur,IN,75.02,scattered clouds,14.6167,75.6167,HOTEL SRI NANDI
236,Sao Domingos,BR,87.42,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
243,Anloga,GH,87.8,few clouds,5.7947,0.8973,Pin Drop Hotel
251,Santa Maria,BR,86.0,broken clouds,-29.6842,-53.8069,Hotel Morotin
259,Meulaboh,ID,76.37,broken clouds,4.1363,96.1285,Kost Pria
262,Kitgum,UG,84.65,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
263,Wajid,SO,82.53,clear sky,3.8093,43.2471,xamdihotelresturant114
264,Booue,GA,76.8,light rain,-0.0921,11.9385,Splendeur de l'équateur
265,Samarai,PG,82.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
270,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
275,Namibe,AO,75.81,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
278,Sinnamary,GF,80.24,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
283,Alice Springs,AU,86.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
284,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
286,Bengkulu,ID,75.81,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
287,Sao Lourenco Do Sul,BR,84.2,broken clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
291,Arraial Do Cabo,BR,93.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
292,Luganville,VU,78.57,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
296,Nouadhibou,MR,87.8,broken clouds,20.930999999999997,-17.0347,El Medina
299,Maputo,MZ,86.0,scattered clouds,-25.9653,32.5892,Pestana Rovuma
303,Hohoe,GH,91.92,clear sky,7.1518,0.4736,Agumatsa Falls Lodge
306,Altamira,BR,87.8,broken clouds,-3.2033,-52.2064,Requinte Hotel
307,Waingapu,ID,77.52,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
309,Chuy,UY,84.74,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
316,Bani,DO,82.4,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
317,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
318,Morondava,MG,82.85,few clouds,-20.2833,44.2833,La Case Bambou
324,Senador Jose Porfirio,BR,84.27,few clouds,-2.5908,-51.9542,Pousada Novo Horizonte
330,Chon Daen,TH,75.99,clear sky,16.1895,100.8596,ซับขลุง
331,Biak,ID,76.86,overcast clouds,-0.9131,122.8766,Penginapan Kim
