,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Siyabuswa,ZA,-25.1132,29.0445,80.42,55,50,3.42,scattered clouds
349,Siaya,KE,0.0612,34.2882,69.46,75,100,5.95,overcast clouds
350,Grootfontein,NA,-19.5667,18.1167,78.8,61,100,4.61,moderate rain
351,Amparafaravola,MG,-17.5833,48.2167,69.55,89,96,6.26,moderate rain
352,Aldan,RU,58.6031,125.3894,-39.73,79,98,3.04,overcast clouds
353,Kokopo,PG,-4.352,152.2633,80.11,85,83,14.43,light rain
354,Kahului,US,20.8947,-156.47,66.99,94,40,11.5,light rain
355,Morgan City,US,29.6994,-91.2068,69.8,73,90,6.91,overcast clouds
356,Natal,BR,-5.795,-35.2094,87.8,62,40,17.27,scattered clouds
357,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,2.66,clear sky
358,Inuvik,CA,68.3499,-133.7218,-29.2,75,100,1.14,overcast clouds
359,Vao,NC,-22.6667,167.4833,75.99,80,59,19.3,broken clouds
360,Coahuayana,MX,18.7333,-103.6833,84.2,45,1,3.94,clear sky
361,Kenai,US,60.5544,-151.2583,18.0,85,1,3.44,clear sky
362,High Level,CA,58.5169,-117.136,-22.0,76,20,3.44,few clouds
363,Sardulgarh,IN,29.7,75.25,52.25,37,0,3.47,clear sky
364,Okhotsk,RU,59.3833,143.3,-12.23,79,0,15.48,clear sky
365,Nishihara,JP,26.1842,127.7558,59.0,50,40,4.61,scattered clouds
366,Villa Bruzual,VE,9.3328,-69.1208,93.34,36,13,4.5,few clouds
367,Ust-Tsilma,RU,65.441,52.1498,3.67,92,100,9.44,overcast clouds
368,Bakaly,RU,55.1789,53.8028,27.43,97,100,12.3,overcast clouds
369,San Patricio,US,28.017,-97.5169,75.2,69,75,27.63,broken clouds
370,Ankazoabo,MG,-22.2833,44.5167,73.63,89,66,5.57,moderate rain
371,Almaznyy,RU,48.0448,40.045,41.0,81,40,8.95,scattered clouds
372,Antalaha,MG,-14.9003,50.2788,79.05,79,42,1.92,scattered clouds
373,Gamba,GA,-2.65,10.0,80.04,83,95,10.4,moderate rain
374,Terrace Bay,CA,48.7834,-87.1,12.2,73,20,8.05,few clouds
375,Saint-Joseph,RE,-21.3667,55.6167,80.6,65,0,9.22,light rain
376,Chimoio,MZ,-19.1164,33.4833,77.0,88,40,5.75,scattered clouds
377,Betera,ES,39.5833,-0.45,66.2,39,0,14.97,light rain
378,Leninskiy,RU,54.2781,37.4558,24.12,97,100,12.1,overcast clouds
379,Cabesti,RO,46.7667,22.3667,46.4,87,0,16.11,clear sky
380,Port Blair,IN,11.6667,92.75,79.68,80,1,8.14,clear sky
381,Ust-Maya,RU,60.4167,134.5333,-39.05,80,100,0.65,overcast clouds
382,Curuca,BR,-0.7289,-47.8481,80.62,89,72,8.37,moderate rain
383,Catamarca,AR,-28.4696,-65.7852,72.0,83,59,3.0,broken clouds
384,Kalmunai,LK,7.4167,81.8167,77.7,84,77,6.44,broken clouds
385,Lincoln,US,40.8,-96.667,39.0,89,100,4.0,overcast clouds
386,Abu Samrah,SY,35.3029,37.1841,50.07,69,91,11.68,overcast clouds
387,Ferkessedougou,CI,9.6,-5.2,98.04,9,0,5.39,clear sky
388,Vetapalem,IN,15.7833,80.3167,75.85,78,96,10.09,overcast clouds
389,Vardo,NO,70.3705,31.1107,30.2,86,75,24.16,light snow
390,Paamiut,GL,61.994,-49.6678,31.15,87,92,8.19,overcast clouds
391,Bethel,US,41.3712,-73.414,21.99,45,1,8.05,clear sky
392,Krabi,TH,8.0726,98.9105,73.4,94,20,3.44,few clouds
393,Moron,AR,-34.6534,-58.6198,69.8,88,90,13.8,moderate rain
394,Springdale,US,36.1867,-94.1288,50.0,100,90,8.05,moderate rain
395,Perelyub,RU,51.8667,50.3667,24.98,96,99,10.78,light snow
396,Armidale,AU,-30.5167,151.65,59.0,91,13,1.7,few clouds
397,Teguldet,RU,57.3064,88.1667,-28.17,84,0,1.88,clear sky
398,Tessalit,ML,20.1986,1.0114,80.08,13,83,5.37,broken clouds
399,Black River,JM,18.0264,-77.8487,84.99,65,40,27.63,scattered clouds
400,Komsomolskiy,UZ,40.4272,71.7189,42.8,28,98,4.61,overcast clouds
401,Tonantins,BR,-2.8731,-67.8022,92.77,47,4,5.17,clear sky
402,San Rafael,AR,-34.6177,-68.3301,65.93,57,88,4.99,overcast clouds
403,Sydney Mines,CA,46.2367,-60.2177,30.99,59,75,17.27,broken clouds
404,Saint-Pierre,RE,-21.3393,55.4781,80.6,65,0,9.22,light rain
405,Quatre Cocos,MU,-20.2078,57.7625,80.01,89,75,5.75,broken clouds
406,Shingu,JP,33.7333,135.9833,40.71,79,18,5.55,few clouds
407,Aripuana,BR,-9.1667,-60.6333,83.61,75,92,3.51,overcast clouds
408,Ulaanbaatar,MN,47.9077,106.8832,-5.8,77,40,2.24,light snow
409,Nelson Bay,AU,-32.7167,152.15,70.0,100,9,1.14,clear sky
410,Luanda,AO,-8.8368,13.2343,86.0,62,20,9.22,few clouds
411,Horasan,TR,40.0458,42.1728,15.08,90,37,3.15,scattered clouds
412,Kajaani,FI,64.2273,27.7285,21.2,86,90,6.91,light snow
413,Dryden,CA,49.7833,-92.7503,19.4,86,90,8.05,light snow
414,Lloydminster,CA,53.2835,-110.0016,5.0,85,90,4.61,light snow
415,Kieta,PG,-6.2167,155.6333,81.48,80,88,14.12,light rain
416,Saint-Augustin,CA,51.226,-58.6502,29.59,93,22,15.12,few clouds
417,Mae Chan,TH,20.1467,99.8526,66.2,100,20,1.14,few clouds
418,Surman,LY,32.7567,12.5716,71.42,32,0,10.27,clear sky
419,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,57,20,10.36,few clouds
420,Trincomalee,LK,8.5711,81.2335,79.34,83,61,13.6,broken clouds
421,Saint-Georges,GD,12.0564,-61.7485,86.0,62,75,19.57,broken clouds
422,Puerto Ayacucho,VE,5.6639,-67.6236,92.1,42,8,6.02,clear sky
423,Bilma,NE,18.6853,12.9164,68.74,20,49,6.29,scattered clouds
424,Huruta,ET,8.15,39.35,61.25,34,33,10.0,scattered clouds
425,Nemuro,JP,43.3236,145.575,22.05,92,100,15.75,overcast clouds
426,Saint-Francois,FR,46.4154,3.9054,51.8,82,90,2.3,overcast clouds
427,Riyadh,SA,24.6877,46.7219,62.6,29,0,8.05,clear sky
428,Cordoba,AR,-31.4135,-64.1811,68.0,77,90,17.27,overcast clouds
429,Deer Lake,CA,49.1667,-57.4316,26.6,80,90,6.91,overcast clouds
430,Inirida,CO,3.8653,-67.9239,91.67,45,96,3.83,overcast clouds
431,Alyangula,AU,-13.8483,136.4192,80.6,94,61,14.97,broken clouds
432,Aklavik,CA,68.2191,-135.0107,-22.0,76,75,2.3,broken clouds
433,Roald,NO,62.5833,6.1333,33.8,75,40,8.05,light snow
434,Gat,IL,31.61,34.7642,55.99,53,0,3.0,clear sky
435,Tokur,RU,53.1333,132.9,-34.6,85,70,2.93,broken clouds
436,Teguise,ES,29.0605,-13.564,68.0,64,20,17.27,few clouds
437,Poykovskiy,RU,61.2333,73.3333,-23.8,69,20,13.42,few clouds
438,Tecoanapa,MX,16.5167,-98.75,84.43,49,88,4.47,overcast clouds
439,Shache,CN,38.4167,77.2406,25.29,83,0,4.56,clear sky
440,Taitung,TW,22.7583,121.1444,62.02,72,72,8.46,broken clouds
441,Mount Isa,AU,-20.7333,139.5,86.0,51,90,2.3,overcast clouds
442,Fuling,CN,29.7022,107.3919,53.56,64,100,1.34,overcast clouds
443,Katherine,AU,-14.4667,132.2667,80.6,83,97,4.61,overcast clouds
444,Novorudnyy,RU,51.5026,58.1873,14.0,85,75,0.76,broken clouds
445,Potam,MX,27.6,-110.3833,66.2,42,1,10.36,clear sky
446,Verkhniy Landekh,RU,56.8389,42.5994,22.55,96,99,10.85,overcast clouds
447,Tiruchchendur,IN,8.4833,78.1167,79.9,77,9,18.61,clear sky
448,Mahanje,TZ,-9.9333,35.3333,69.17,91,88,3.33,light rain
449,Beaverlodge,CA,55.2166,-119.4361,-11.2,77,40,3.44,scattered clouds
450,Saint Leonard,CA,47.173,-67.9247,9.0,70,35,5.01,scattered clouds
451,Flinders,AU,-34.5833,150.8552,72.0,86,51,5.99,broken clouds
452,Adrar,MR,20.5022,-10.0711,84.4,13,31,11.59,scattered clouds
453,Doka,SD,13.5167,35.7667,82.44,25,0,11.32,clear sky
454,Verkhnyaya Inta,RU,65.9811,60.3094,0.9,87,100,9.6,overcast clouds
455,Norman Wells,CA,65.282,-126.8329,-27.4,75,75,1.7,broken clouds
456,Fare,PF,-16.7,-151.0167,80.85,68,53,3.98,broken clouds
457,Whitehorse,CA,60.7161,-135.0538,-9.0,84,40,0.6,scattered clouds
458,Cabo San Lucas,MX,22.8909,-109.9124,73.4,60,1,3.44,clear sky
459,Nizhniy Kuranakh,RU,58.8353,125.4869,-39.17,78,96,1.68,overcast clouds
460,Tuatapere,NZ,-46.1333,167.6833,48.0,80,69,8.01,broken clouds
461,Severo-Yeniseyskiy,RU,60.3725,93.0408,-41.75,81,46,1.88,scattered clouds
462,Pedernales,DO,18.0384,-71.744,80.22,59,6,6.96,clear sky
463,Kolda,SN,12.8833,-14.95,102.2,14,0,6.91,clear sky
464,Redmond,US,47.674,-122.1215,43.0,90,98,6.62,overcast clouds
465,Tongren,CN,27.7172,109.1853,48.27,80,100,2.01,overcast clouds
466,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,73,0,19.57,clear sky
467,Nome,US,64.5011,-165.4064,-13.0,77,1,6.91,clear sky
468,Harper,LR,4.375,-7.7169,81.84,78,54,9.35,light rain
469,Valentin Gomez Farias,MX,28.2167,-106.5833,64.38,25,0,18.01,clear sky
470,Coquimbo,CL,-29.9533,-71.3436,68.0,73,20,14.97,few clouds
471,Mitsamiouli,KM,-11.3847,43.2844,82.54,76,39,8.14,scattered clouds
472,Bolobo,CD,-2.1667,16.2333,74.61,83,100,3.94,overcast clouds
473,Aksarayskiy,RU,46.7924,48.0119,33.8,93,90,8.95,overcast clouds
474,Spornoye,RU,50.8448,37.2913,28.4,93,90,11.18,snow
475,Tabou,CI,4.423,-7.3528,81.05,82,45,8.9,moderate rain
476,Songjianghe,CN,42.1859,127.479,-0.69,90,4,4.97,clear sky
477,Laguna,US,38.421,-121.4238,48.0,87,90,3.44,overcast clouds
478,Atambua,ID,-9.1061,124.8925,74.3,94,100,9.53,overcast clouds
479,Pevek,RU,69.7008,170.3133,-32.48,85,44,3.8,scattered clouds
480,Along,IN,28.1667,94.7667,49.48,82,85,2.48,overcast clouds
481,Tacarigua,VE,10.0862,-67.9198,86.0,42,20,3.09,few clouds
482,Mattru,SL,7.6244,-11.8332,94.44,34,24,5.91,few clouds
483,Nanyang,CN,32.9947,112.5328,45.37,54,0,1.12,clear sky
484,Umm Kaddadah,SD,13.6017,26.6876,70.11,21,0,13.0,clear sky
485,Hami,CN,42.8,93.45,22.19,83,0,1.57,clear sky
486,Villa Carlos Paz,AR,-31.4241,-64.4978,68.0,77,90,17.27,overcast clouds
487,Najran,SA,17.4924,44.1277,75.2,23,0,6.91,clear sky
488,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,80,75,12.66,broken clouds
489,Verkh-Neyvinskiy,RU,57.2701,60.1376,13.17,97,97,2.04,overcast clouds
490,Alofi,NU,-19.0595,-169.9187,75.2,100,100,6.91,light rain
491,Surakarta,ID,-7.5561,110.8317,74.97,89,100,0.94,moderate rain
492,Gizo,SB,-8.103,156.8419,83.68,78,71,18.86,broken clouds
493,Menomonie,US,44.8755,-91.9193,32.0,74,1,12.66,clear sky
494,Aguimes,ES,27.9054,-15.4461,71.01,68,40,28.77,scattered clouds
495,Khandyga,RU,62.6667,135.6,-51.61,76,55,0.69,broken clouds
496,Kipini,KE,-2.5257,40.5262,78.8,78,20,12.66,few clouds
497,Amapa,BR,1.0,-52.0,80.13,90,88,4.52,light rain
498,Banda Aceh,ID,5.5577,95.3222,77.47,83,48,10.67,scattered clouds
499,Popova,RU,42.9603,131.7228,-11.2,77,0,2.24,clear sky
500,Chernenko,RU,44.365,39.3103,38.35,84,80,2.86,broken clouds
501,Marawi,PH,7.9986,124.2928,66.54,92,99,2.39,overcast clouds
502,Yinchuan,CN,38.4681,106.2731,28.99,70,30,7.0,scattered clouds
503,Tevaitoa,PF,-16.7833,-151.5,80.46,68,30,3.42,scattered clouds
504,Barra Do Garcas,BR,-15.89,-52.2567,89.89,52,37,5.84,scattered clouds
505,Alushta,UA,44.6667,34.4167,44.74,67,80,5.86,broken clouds
506,Sahuaripa,MX,29.05,-109.2333,61.86,47,0,4.21,clear sky
507,Nichinan,JP,31.6,131.3667,35.01,74,0,5.01,clear sky
508,Tura,IN,25.5198,90.2201,53.01,40,0,1.52,clear sky
509,Narasannapeta,IN,18.4167,84.05,72.55,77,1,1.19,clear sky
510,Jumla,NP,29.2747,82.1838,31.37,68,0,3.0,clear sky
511,Tutoia,BR,-2.7619,-42.2744,89.6,62,20,21.85,few clouds
512,Umri,IN,26.5106,78.9367,53.38,42,0,3.56,clear sky
513,Talara,PE,-4.5772,-81.2719,89.6,45,0,12.66,clear sky
514,Porto Santo,PT,33.072,-16.3415,62.6,100,75,12.66,broken clouds
515,Sierre,CH,46.2919,7.5356,39.2,100,90,3.31,light rain
516,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,-22.88,88,100,2.89,overcast clouds
517,Kidal,ML,18.4411,1.4078,81.23,13,43,4.74,scattered clouds
518,Trelew,AR,-43.249,-65.3051,71.46,31,0,15.95,clear sky
519,Norfolk,US,42.1668,-71.2495,19.4,45,1,9.22,clear sky
520,Benjamin Constant,BR,-4.3831,-70.0311,87.8,70,75,4.61,broken clouds
521,Abu Dhabi,AE,24.4667,54.3667,73.4,56,0,3.44,clear sky
522,Kisangani,CD,0.5167,25.2,76.46,74,100,2.08,overcast clouds
523,Hobyo,SO,5.3505,48.5268,76.71,74,7,15.59,clear sky
524,Obo,CF,5.3998,26.4869,81.01,18,53,5.44,broken clouds
525,Chernyshkovskiy,RU,48.4219,42.2308,34.07,90,95,8.28,overcast clouds
526,Requena,ES,39.4883,-1.1004,62.01,59,0,1.99,clear sky
527,Bartica,GY,6.4,-58.6167,80.6,94,75,13.8,broken clouds
528,Plouzane,FR,48.3833,-4.6167,51.8,93,90,12.66,mist
529,Santa Isabel,BR,-23.3156,-46.2214,93.2,35,0,10.36,clear sky
530,Cacu,BR,-18.5567,-51.1308,89.74,44,15,8.37,few clouds
531,Ukiah,US,39.1502,-123.2078,44.6,93,90,4.83,overcast clouds
532,Soderhamn,SE,61.3037,17.0592,12.99,88,74,5.75,broken clouds
533,Te Anau,NZ,-45.4167,167.7167,43.03,86,54,1.59,broken clouds
534,Takestan,IR,36.0696,49.6959,41.0,52,40,4.61,scattered clouds
535,Ambovombe,MG,-25.1667,46.0833,83.01,70,3,9.15,clear sky
536,Celestun,MX,20.8667,-90.4,75.45,57,72,10.38,broken clouds
537,Maceio,BR,-9.6658,-35.7353,84.2,70,75,12.66,broken clouds
538,Matipo,BR,-20.2839,-42.3411,82.47,55,14,4.61,few clouds
539,Kosh-Agach,RU,50.0,88.6667,-6.39,86,21,2.19,few clouds
540,Nur,PL,52.6683,22.3221,30.99,82,100,5.01,light snow
541,Yeppoon,AU,-23.1333,150.7333,75.2,78,21,6.91,few clouds
542,Puerto Leguizamo,CO,-0.1934,-74.7819,91.67,41,67,5.64,broken clouds
543,Sao Filipe,CV,14.8961,-24.4956,76.91,55,100,10.76,overcast clouds
544,Shinpokh,PK,34.3292,71.1782,53.6,40,40,4.61,haze
545,Nelidovo,RU,56.2211,32.7774,22.12,96,100,9.8,overcast clouds
546,Highview,US,38.1428,-85.6241,37.99,52,1,10.36,clear sky
547,Nesbyen,NO,60.5681,9.1027,14.83,85,7,3.87,clear sky
548,Linfen,CN,36.0889,111.5189,38.64,59,91,2.06,overcast clouds
549,Kulu,TR,39.0951,33.0799,39.65,90,100,18.61,light rain
550,Rawson,AR,-43.3002,-65.1023,66.22,40,0,15.64,clear sky
551,Pumiao,CN,22.75,108.4833,60.8,82,58,5.59,broken clouds
552,Povenets,RU,62.8487,34.8262,17.4,97,94,6.24,overcast clouds
553,Yaan,NG,7.3833,8.5667,94.93,10,0,4.92,clear sky
554,Islamkot,PK,24.6997,70.177,57.51,32,0,3.22,clear sky
555,Port-Gentil,GA,-0.7193,8.7815,84.2,74,20,9.22,few clouds
556,Tahta,EG,26.7693,31.5021,64.4,34,0,5.75,clear sky
557,Mengcheng,CN,33.2579,116.5655,46.6,60,89,4.94,overcast clouds
558,Heishan,CN,41.6892,122.1128,9.19,84,97,2.66,overcast clouds
559,Anshun,CN,26.25,105.9333,44.35,87,98,3.87,overcast clouds
560,Mbandaka,CD,0.0487,18.2603,75.94,88,69,10.76,moderate rain
561,Marfino,RU,55.7028,37.3822,27.0,80,90,11.18,snow
562,Mandalgovi,MN,45.7625,106.2708,16.21,87,90,13.51,overcast clouds
563,Podgorica,ME,42.4411,19.2636,48.2,87,20,4.61,few clouds
564,Lubango,AO,-14.9172,13.4925,66.2,72,75,6.91,broken clouds
565,Skibbereen,IE,51.55,-9.2667,42.8,81,75,13.8,broken clouds
566,Vila Franca Do Campo,PT,37.7167,-25.4333,64.99,94,75,14.97,broken clouds
567,Opuwo,NA,-18.0607,13.84,80.73,37,89,16.82,overcast clouds
568,Galdar,ES,28.147,-15.6502,71.01,68,40,28.77,scattered clouds
569,Bullhead City,US,35.1478,-114.5683,50.0,71,1,1.7,clear sky
570,Monrovia,LR,6.3005,-10.7969,84.2,74,75,4.61,broken clouds
571,Boyolangu,ID,-8.1181,111.8935,74.75,88,100,4.43,moderate rain
572,Maarianhamina,AX,60.0973,19.9348,26.6,80,90,12.66,light snow
573,Price,US,39.5994,-110.8107,24.8,100,20,4.61,few clouds
574,Einsiedeln,CH,47.1167,8.75,42.01,96,100,5.01,moderate rain
575,San Luis,AR,-33.295,-66.3356,70.09,55,93,11.92,overcast clouds
576,Mbulu,TZ,-3.85,35.5333,63.19,76,25,6.64,light rain
577,Nagorsk,RU,59.3172,50.8078,27.66,98,100,12.5,light snow
578,Kedungwuni,ID,-6.9704,109.6479,57.99,10,100,5.3,overcast clouds
579,Zhuhai,CN,22.2769,113.5678,66.0,72,0,6.91,clear sky
580,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,45,20,6.91,few clouds
581,Deputatskiy,RU,69.3,139.9,-32.35,86,97,1.86,overcast clouds
582,Omagh,GB,54.6,-7.3,35.46,83,98,11.56,overcast clouds
583,Illapel,CL,-31.6308,-71.1653,84.31,28,3,12.15,clear sky
584,Puertollano,ES,38.6871,-4.1073,53.01,85,100,1.01,overcast clouds
585,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,72,75,16.11,broken clouds
586,Rock Sound,BS,24.9,-76.2,68.09,63,87,15.05,overcast clouds
587,Papetoai,PF,-17.4961,-149.8729,78.8,69,75,5.75,broken clouds
588,Beyla,GN,8.6833,-8.6333,94.03,10,0,6.38,clear sky
589,Tual,ID,-5.6667,132.75,83.37,74,100,10.07,overcast clouds
590,Anicuns,BR,-16.4611,-49.9617,86.02,52,88,3.78,overcast clouds
591,Fengzhen,CN,40.4394,113.1536,20.8,82,6,7.72,clear sky
592,Changli,CN,39.7042,119.1506,18.34,86,20,9.66,few clouds
593,Virginia Beach,US,36.8529,-75.978,36.0,44,20,12.66,few clouds
594,Shimoda,JP,34.6667,138.95,35.01,76,0,1.99,clear sky
595,Maseru,LS,-29.3167,27.4833,71.26,35,0,4.43,clear sky
596,Tiznit,MA,29.5833,-9.5,63.79,53,0,9.24,clear sky
597,Novouzensk,RU,50.4592,48.1431,25.88,95,98,10.36,overcast clouds
598,Yar-Sale,RU,66.8333,70.8333,-25.02,86,100,15.86,light snow
599,Kokubu,JP,31.7333,130.7667,35.01,74,0,5.01,clear sky
600,Touros,BR,-5.1989,-35.4608,87.8,55,40,13.8,scattered clouds
601,Tigil,RU,57.8,158.6667,9.32,92,100,22.59,overcast clouds
602,Bowen,AU,-20.0167,148.2333,75.2,94,75,10.36,broken clouds
603,Guerrero,MX,17.6667,-100.0,77.94,32,100,3.69,overcast clouds
604,Makakilo City,US,21.3469,-158.0858,71.6,83,1,3.44,light rain
605,Bongandanga,CD,1.5,21.05,80.71,62,67,2.46,broken clouds
606,Yakima,US,46.4665,-120.6678,32.0,86,75,3.44,mist
607,Ambon,ID,-3.6954,128.1814,78.8,89,40,1.14,scattered clouds
608,Takoradi,GH,4.8845,-1.7554,83.17,73,6,10.13,light rain
609,Pahrump,US,36.2083,-115.9839,41.0,81,8,1.25,clear sky
610,Congonhas,BR,-20.4997,-43.8578,80.98,60,38,3.91,scattered clouds
611,Batemans Bay,AU,-35.7167,150.1833,64.99,89,100,3.0,overcast clouds
612,Mana,GF,5.6592,-53.7767,80.17,86,76,14.12,broken clouds
613,Cascais,PT,38.6979,-9.4215,60.01,72,40,11.5,scattered clouds
614,Surt,LY,31.2089,16.5887,65.88,53,0,1.63,clear sky
615,Atouguia Da Baleia,PT,39.3381,-9.3263,57.99,72,66,15.01,broken clouds
616,Cayenne,GF,4.9333,-52.3333,80.6,89,75,10.36,moderate rain
617,Auki,SB,-8.7676,160.7034,79.3,85,98,10.0,overcast clouds
618,Ust-Kuyga,RU,70.0167,135.6,-38.69,79,100,1.79,overcast clouds
619,Calama,CL,-22.4667,-68.9333,73.4,11,0,14.97,clear sky
620,Sharjah,AE,25.3573,55.4033,73.4,63,0,2.3,clear sky
621,Valdivia,CL,-39.8142,-73.2459,71.6,46,0,3.44,clear sky
622,Ewa Beach,US,21.3156,-158.0072,71.6,83,1,3.44,light rain
623,Trapani,IT,37.8333,12.6667,59.0,94,20,9.22,few clouds
624,Matara,LK,5.9485,80.5353,77.56,85,100,1.16,overcast clouds
625,Haizhou,CN,34.5817,119.1289,41.31,71,82,2.37,broken clouds
626,Waipawa,NZ,-41.4122,175.5153,51.8,87,56,3.44,broken clouds
627,Ayan,RU,56.45,138.1667,-4.07,83,100,3.02,overcast clouds
628,Oum Hadjer,TD,13.2954,19.6966,84.18,15,0,11.7,clear sky
629,Oakley,US,37.9974,-121.7124,46.99,96,83,3.98,broken clouds
630,Samoded,RU,63.6083,40.5111,12.0,97,99,5.64,overcast clouds
631,Quilmana,PE,-12.95,-76.3833,79.03,51,38,7.94,scattered clouds
632,Batagay-Alyta,RU,67.8006,130.4114,-32.15,81,100,1.41,overcast clouds
633,Neiafu,TO,-18.65,-173.9833,78.8,94,75,9.22,light rain
634,Gawler,AU,-34.6,138.7333,57.99,80,15,5.01,few clouds
635,Cravo Norte,CO,6.3017,-70.2041,92.8,37,0,12.12,clear sky
636,Ostrovskoye,RU,57.8057,42.2433,20.93,97,79,10.6,snow
637,Changping,CN,40.2186,116.2197,28.0,63,0,2.24,clear sky
638,Jamsa,FI,61.8642,25.19,14.0,92,90,6.91,light snow
639,Colorines,MX,19.2,-100.1667,73.0,37,75,19.57,broken clouds
640,Ugoofaaru,MV,5.6667,73.0,81.57,70,71,9.78,broken clouds
641,Quelimane,MZ,-17.8786,36.8883,84.2,74,75,9.22,broken clouds
642,Ushtobe,KZ,45.2514,77.9838,16.83,86,26,4.65,scattered clouds
643,Suez,EG,29.9737,32.5263,58.28,41,0,6.8,clear sky
644,Yate,GB,51.5407,-2.4184,37.99,90,100,8.01,overcast clouds
645,Ostersund,SE,63.1792,14.6357,3.2,85,75,0.81,broken clouds
646,Leh,IN,34.1667,77.5833,3.31,60,20,1.63,few clouds
647,Panama City,PA,8.9936,-79.5197,89.6,51,20,10.36,few clouds
648,Bahadurganj,IN,26.2667,87.8167,55.53,43,0,6.4,clear sky
649,Lanigan,CA,51.8501,-105.0344,12.2,79,71,9.22,light snow
650,Vila,PT,42.0304,-8.1588,46.99,94,99,14.0,overcast clouds
651,Palembang,ID,-2.9167,104.7458,74.86,95,97,4.47,overcast clouds
652,Colonia Leopoldina,BR,-8.9089,-35.725,84.2,70,75,12.66,broken clouds
653,Bon Accord,CA,53.8335,-113.4187,3.99,85,90,4.99,overcast clouds
654,Inongo,CD,-1.95,18.2667,76.78,87,89,4.81,heavy intensity rain
655,Kargasok,RU,59.0556,80.8572,-25.44,84,95,6.76,overcast clouds
656,Parry Sound,CA,45.3501,-80.033,14.0,62,0,1.61,clear sky
657,Liverpool,GB,53.4106,-2.9779,39.2,70,20,21.85,few clouds
658,Alihe,CN,50.5667,123.7167,-23.33,81,48,1.07,light snow
659,Balabac,PH,7.9868,117.0645,80.29,80,96,23.53,overcast clouds
660,Maragogi,BR,-9.0122,-35.2225,83.75,66,92,11.07,overcast clouds
661,Kysyl-Syr,RU,63.8986,122.7617,-49.36,76,89,3.49,overcast clouds
662,Maniitsoq,GL,65.4167,-52.9,14.4,83,0,16.22,clear sky
663,Okato,NZ,-39.2,173.8833,48.99,68,0,8.01,clear sky
664,Manadhoo,MV,5.7667,73.3833,81.41,69,80,9.26,broken clouds
665,Sakakah,SA,29.9697,40.2064,53.6,32,0,5.19,clear sky
666,Toyooka,JP,35.5333,134.8333,40.46,82,93,4.61,overcast clouds
667,Mbala,ZM,-8.8402,31.3659,64.04,87,62,2.66,light rain
668,Savonlinna,FI,61.8699,28.88,26.6,93,75,6.91,broken clouds
669,Den Chai,TH,17.9837,100.0522,77.0,49,23,1.25,few clouds
670,Kirriemuir,GB,56.674,-3.0034,39.2,87,40,11.5,scattered clouds
671,Jalu,LY,29.0331,21.5482,66.79,34,0,9.75,clear sky
672,Kantemirovka,RU,49.7089,39.8592,36.39,96,99,14.0,light rain
673,Kaifeng,CN,34.7911,114.3483,42.8,28,0,4.47,clear sky
674,Kutum,SD,14.2,24.6667,66.16,23,0,11.63,clear sky
675,Labuhan,ID,-6.8844,112.2051,77.49,85,100,6.82,light rain
